Date,Open,High,Low,Close,Volume,- SPREAD -
04-05-2022,72750.00,73000.40,71232.45,71815.15,5596,"1,767.95"
01-12-2020,79059.95,80000.00,77762.90,79599.20,1638,"2,237.10"
27-11-2020,76774.00,79150.00,75293.95,77939.95,4288,"3,856.05"
26-11-2020,76701.00,77488.70,74381.00,75982.10,2533,"3,107.70"
25-11-2020,80696.00,80698.90,75653.25,76220.70,2517,"5,045.65"
24-11-2020,80690.00,80988.50,79145.00,79817.40,1426,"1,843.50"
23-11-2020,80000.00,81000.00,79182.05,79956.75,1796,"1,817.95"
20-11-2020,76725.00,79538.30,76725.00,79105.95,2613,"2,813.30"
19-11-2020,74444.30,77300.00,74071.55,76893.10,1650,"3,228.45"
18-11-2020,74199.00,75414.45,72364.10,75041.30,2089,"3,050.35"
17-11-2020,71854.00,74624.40,71854.00,74201.40,1886,"2,770.40"
22-06-2022,67460.00,68128.35,67355.00,68050.55,119,773.35
02-05-2022,72400.00,72769.95,71784.00,72619.40,431,985.95
14-11-2020,72000.00,72500.00,71060.90,71841.45,231,"1,439.10"
13-11-2020,69799.00,72500.00,69607.35,71960.05,1812,"2,892.65"
12-11-2020,68800.00,69561.00,68800.00,69379.55,1438,761.00
11-11-2020,69680.00,70476.00,68072.70,68574.95,1134,"2,403.30"
10-11-2020,70202.00,70678.10,68308.55,69379.70,2875,"2,369.55"
09-11-2020,69888.00,70222.00,68597.65,69934.10,4095,"1,624.35"
06-11-2020,69500.00,69866.45,68196.25,68514.05,1922,"1,670.20"
05-11-2020,69388.00,69750.00,68262.55,68525.95,2818,"1,487.45"
04-11-2020,67731.60,69200.00,67731.60,68453.05,2633,"1,468.40"
03-11-2020,66900.00,68000.00,66656.35,67705.95,1287,"1,343.65"
29-04-2022,72264.70,73317.50,71800.00,72688.60,591,"1,517.50"
02-11-2020,65950.00,66564.00,64837.40,66185.05,851,"1,726.60"
30-10-2020,67400.00,68374.95,64673.50,65256.50,1569,"3,701.45"
29-10-2020,66499.95,68901.15,65152.50,67215.40,2550,"3,748.65"
28-10-2020,68150.00,68150.00,65342.35,66760.85,3168,"2,807.65"
27-10-2020,64249.95,69608.75,63675.50,68575.15,4968,"5,933.25"
26-10-2020,63500.05,64303.45,62866.55,63280.70,532,"1,436.90"
23-10-2020,62300.00,63986.10,62294.35,63601.70,1803,"1,691.75"
22-10-2020,61349.00,62385.00,60697.00,62259.85,628,"1,688.00"
21-10-2020,60150.00,61600.00,60048.00,61010.15,1106,"1,552.00"
20-10-2020,59489.55,60232.95,59489.55,59942.60,249,743.40
28-04-2022,72500.00,72544.60,71023.45,72366.10,416,"1,521.15"
19-10-2020,58280.50,60134.90,58135.00,60001.00,1473,"1,999.90"
16-10-2020,58550.60,58840.25,57887.85,58100.80,1780,952.40
15-10-2020,58769.30,59224.85,58168.65,58350.60,322,"1,056.20"
14-10-2020,58600.00,59159.25,58000.05,58933.65,287,"1,159.20"
13-10-2020,58500.00,59365.25,58326.90,58607.65,321,"1,038.35"
12-10-2020,59400.00,59400.00,58224.95,58599.05,335,"1,175.05"
09-10-2020,60600.05,60600.05,58513.10,58769.60,576,"2,086.95"
08-10-2020,61000.00,61000.00,59666.00,60207.90,256,"1,334.00"
07-10-2020,60490.00,61087.25,60069.65,60581.40,618,"1,017.60"
06-10-2020,60938.35,61121.85,60068.15,60263.85,269,"1,053.70"
27-04-2022,70800.00,72590.00,70250.00,72185.25,482,"2,340.00"
05-10-2020,60699.00,61219.80,60297.40,60498.70,531,922.40
01-10-2020,59449.80,60650.00,59449.80,60570.15,379,"1,200.20"
30-09-2020,59349.95,59963.40,58764.10,59563.90,617,"1,199.30"
29-09-2020,59500.00,59837.50,58235.45,59466.35,469,"1,602.05"
28-09-2020,57879.50,59444.25,57829.80,59279.90,1001,"1,614.45"
25-09-2020,57000.00,57932.00,55729.75,57477.20,1086,"2,202.25"
24-09-2020,56814.55,56900.00,55360.35,55562.50,522,"1,539.65"
